meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,15,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,11900,1410,3,12710,1070,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.506297835709387,2.00300093497577,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,0.810679942810793,-0.863630773767252,0.10886711940882
Han22,16,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,11900,1410,3,12970,1230,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.506297835709387,2.00300093497577,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,-0.206966576198598,-0.863630773767252,0.10886711940882
Han22,17,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,11900,1410,3,12310,1230,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.506297835709387,2.00300093497577,1.54471015918213,2.74659287276555,-1.8031094226005,1.12363754700038,1.49550813564911,-0.0860777177265701,-0.0365030314224644,-0.696554285490018,-0.278902973019089,-1.51266889602828,1.82832646182018,-0.863630773767252,0.10886711940882
Han22,19,31.95,118.8333,field,tomato,vegetable,irrigation,95.75459973,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,10251.8,449.6,3,12679.9,359.7,3,28.4520904,13.40576271,28.4520904,13.40576271,-0.56363640737144,-2.00246589021307,-0.516097466111782,0.934941507926081,1.26565117767013,0.179900344473356,0.879192633923855,-2.03094653857059,-1.81622506562253,0.435555562023781,-0.337186872260838,-2.11796595952114,0.471464436474329,0.425594392575906,-1.31825532702733
Han22,20,31.95,118.8333,field,tomato,vegetable,irrigation,95.75459973,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,10251.8,449.6,3,13759,449.6,3,28.4520904,13.40576271,28.4520904,13.40576271,-0.56363640737144,-2.00246589021307,-0.516097466111782,0.934941507926081,1.26565117767013,0.179900344473356,0.879192633923855,-2.03094653857059,-1.81622506562253,0.435555562023781,-0.337186872260838,-2.11796595952114,2.16754196815665,0.425594392575906,-1.31825532702733
Han22,21,31.95,118.8333,field,tomato,vegetable,irrigation,95.75459973,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,9288.7,502.089999999999,3,10711.3,418.4,3,28.4520904,13.40576271,28.4520904,13.40576271,-0.56363640737144,-1.75726118374631,-0.516097466111782,0.934941507926081,1.26565117767013,0.179900344473356,0.879192633923855,-2.03094653857059,-1.81622506562253,0.435555562023781,-0.337186872260838,-2.11796595952114,0.471464436474329,0.425594392575906,-1.31825532702733
Han22,22,31.95,118.8333,field,tomato,vegetable,irrigation,95.75459973,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,9288.7,502.089999999999,3,11882.8,753.2,3,28.4520904,13.40576271,28.4520904,13.40576271,-0.56363640737144,-1.75726118374631,-0.516097466111782,0.934941507926081,1.26565117767013,0.179900344473356,0.879192633923855,-2.03094653857059,-1.81622506562253,0.435555562023781,-0.337186872260838,-2.11796595952114,2.16754196815665,0.425594392575906,-1.31825532702733
Han22,23,31.95,118.8333,field,tomato,vegetable,irrigation,95.75459973,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,15197.8,629.499999999998,3,18345.3,179.9,3,28.4520904,13.40576271,28.4520904,13.40576271,-0.56363640737144,-1.65726149898613,-0.516097466111782,0.934941507926081,1.26565117767013,0.179900344473356,0.879192633923855,-2.03094653857059,-1.81622506562253,0.435555562023781,-0.337186872260838,-2.11796595952114,0.471464436474329,0.425594392575906,-1.31825532702733
Han22,24,31.95,118.8333,field,tomato,vegetable,irrigation,95.75459973,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,50,15197.8,629.499999999998,3,19514.4,269.8,3,28.4520904,13.40576271,28.4520904,13.40576271,-0.56363640737144,-1.65726149898613,-0.516097466111782,0.934941507926081,1.26565117767013,0.179900344473356,0.879192633923855,-2.03094653857059,-1.81622506562253,0.435555562023781,-0.337186872260838,-2.11796595952114,2.16754196815665,0.425594392575906,-1.31825532702733
Han22,25,31.95,118.8333,field,tomato,vegetable,irrigation,95.75459973,78.1,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,9.9,467.2,5.9,25,12410.1,989.2,3,15107.9,449.7,3,28.4520904,13.40576271,28.4520904,13.40576271,-0.56363640737144,-2.06958896628498,-0.516097466111782,0.934941507926081,1.26565117767013,0.179900344473356,0.879192633923855,-2.03094653857059,-1.81622506562253,0.435555562023781,-0.337186872260838,-2.11796595952114,0.471464436474329,0.425594392575906,-1.31825532702733
