meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Zhang23,1388,47.43,8.52,field,maize,grain,rainfed,1054,225,150,100,80,loam,1.32,6.3,9.5,0.95,9.8,489.6,9.8,20,6.3,0.242487113059643,3,6.77,0.190525588832577,3,25.5,35.76666667,25.5,35.76666667,1.38012674315186,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.474167836646665,0.24671320983516,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,0.227512530872666,-0.203620917114079,0.601320416742055
Zhang23,1389,28.52,115.15,field,rice,grain,rainfed,1650,225,150,100,80,loam,1.31,5.2,9.5,0.95,9.8,489.6,9.8,2.835,5.27,0.456395387794399,3,6.09,0.527409470904723,3,25.76666667,32.26666667,25.76666667,32.26666667,2.54533551053447,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.417596379575067,-0.636237908455667,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.710052134627144,-0.167487446864366,0.340572779760163
Zhang23,1390,28.52,115.15,field,rice,grain,rainfed,1650,225,150,100,80,loam,1.31,5.2,9.5,0.95,9.8,489.6,9.8,2.835,5.27,0.456395387794399,3,6.09,0.527409470904723,3,25.76666667,32.26666667,25.76666667,32.26666667,2.54533551053447,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.417596379575067,-0.636237908455667,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.710052134627144,-0.167487446864366,0.340572779760163
Zhang23,1391,28.52,115.15,field,rice,grain,rainfed,1650,225,150,100,80,loam,1.31,5.2,9.5,0.95,9.8,489.6,9.8,20,5.27,0.456395387794399,3,5.44,0.471117819658735,3,25.76666667,32.26666667,25.76666667,32.26666667,2.54533551053447,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.417596379575067,-0.636237908455667,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,0.227512530872666,-0.167487446864366,0.340572779760163
Zhang23,1392,28.52,115.15,field,rice,grain,rainfed,1650,225,150,100,80,loam,1.31,5.2,9.5,0.95,9.8,489.6,9.8,20,5.27,0.456395387794399,3,5.44,0.471117819658735,3,25.76666667,32.26666667,25.76666667,32.26666667,2.54533551053447,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.417596379575067,-0.636237908455667,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,0.227512530872666,-0.167487446864366,0.340572779760163
Zhang23,1407,55.17,-119.5,field,pea,legumes,rainfed,2400,225,150,100,80,clay loam,1.15,5.87,9.5,0.95,9.8,489.6,9.8,2.5,5,0.433012701892219,3,5.6,0.484974226119286,3,33.16666667,24.93333333,33.16666667,24.93333333,4.01162171109982,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.487546933570486,-0.0984404091330726,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.728350075957901,0.835216340031381,-0.205755602984271
Zhang23,1408,-14.593,-52.4,field,beans,legumes,rainfed,1400,225,150,100,80,sandy clay loam,1.33,5.6,9.5,0.95,9.8,489.6,9.8,2,5.6,0.173205080756888,3,5.63,0.173205080756888,3,26,60.93333333,26,60.93333333,2.05657344367935,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.530739293718262,-0.31516477453173,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.75566043615306,-0.135870661242745,2.47622009168661
Zhang23,1409,-14.593,-52.4,field,beans,legumes,rainfed,1400,225,150,100,80,sandy clay loam,1.33,5.6,9.5,0.95,9.8,489.6,9.8,4,5.6,0.173205080756888,3,5.71,0.13856406460551,3,26,60.93333333,26,60.93333333,2.05657344367935,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.530739293718262,-0.31516477453173,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.646418995372424,-0.135870661242745,2.47622009168661
Zhang23,1410,-14.593,-52.4,field,beans,legumes,rainfed,1400,225,150,100,80,sandy clay loam,1.33,5.6,9.5,0.95,9.8,489.6,9.8,8,5.6,0.173205080756888,3,5.74,0.121243556529821,3,26,60.93333333,26,60.93333333,2.05657344367935,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.530739293718262,-0.31516477453173,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.427936113811152,-0.135870661242745,2.47622009168661
Zhang23,1411,-14.593,-52.4,field,beans,legumes,rainfed,1400,225,150,100,80,sandy clay loam,1.33,5.6,9.5,0.95,9.8,489.6,9.8,16,5.6,0.173205080756888,3,5.9,0.346410161513776,3,26,60.93333333,26,60.93333333,2.05657344367935,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.530739293718262,-0.31516477453173,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,0.00902964931139336,-0.135870661242745,2.47622009168661
