meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,213,36.5667,116.8333,field,maize,grain,irrigation and rain,421,121.5,200,75,128,clay,1.65,7.06666666666667,9.5,0.95,9.8,489.6,9.8,40,22.89,1.31974584,3,32.66,1.71967964,3,26.53333333,25.1,26.53333333,25.1,1.37472299438085,-1.40911996117738,-0.160420824499609,-0.600753905305726,1.38497757745922,3.35001583967283,0.217885295049367,-0.127781221634916,-0.0408011328836875,0.347663357835925,-0.0250142522723516,-0.0507322404547346,1.44418513605028,0.108877668222196,-0.381406620408506
Han22,214,31.05,35.4833,field,pepper,vegetable,rainfed,51.6,225,164,100,64,sandy clay loam,1.38,7.7,9.5,0.95,8.17,489.6,9.8,40,92.6829268292683,5.34372682926829,3,88.4146341463415,4.65538414634146,3,37.2,27.36666667,37.2,27.36666667,-0.727616680397189,-0.117688979385354,-0.538869068786869,-0.222728688982165,-0.561668647661874,0.525914362925002,0.67786961271688,-0.127781221634916,-0.0408011328836875,-1.75921524675628,-0.0250142522723516,-0.0507322404547346,1.44418513605028,2.8287592553189,-0.0958917788253608
Han22,217,31.05,35.4833,field,pepper,vegetable,rainfed,51.6,225,164,100,64,sandy clay loam,1.38,7.7,9.5,0.95,8.06,489.6,9.8,30,92.6829268292683,5.34372682926829,3,89.0243902439025,4.68749024390244,3,37.2,27.36666667,37.2,27.36666667,-0.727616680397189,-0.117688979385354,-0.538869068786869,-0.222728688982165,-0.561668647661874,0.525914362925002,0.67786961271688,-0.127781221634916,-0.0408011328836875,-1.90139723847723,-0.0250142522723516,-0.0507322404547346,0.784012306320164,2.8287592553189,-0.0958917788253608
Han22,222,34.2833,108,field,wheat,grain,irrigation,54.99626535,120,150,120,80,silty clay loam,1.36,8.44,9.5,0.61,11.16,429.35,8.45,15,67.1088,0.038692249728,3,76.1273,0.040084068542,3,31.16666667,14,31.16666667,14,-0.708287759467631,-1.42783635221784,-0.686043386009693,0.0796914840766834,-0.0750070913816009,0.316721660943684,1.21532497335998,-0.127781221634916,-0.945889678193782,2.10554980093126,-0.968362293085363,-0.740451970684051,-0.206246938275006,1.29032623394805,-1.7795895925757
Han22,223,34.2833,108,field,wheat,grain,irrigation,54.99626535,120,150,120,80,silty clay loam,1.36,8.44,9.5,0.61,11.16,429.35,8.45,30,67.1088,0.038692249728,3,72.1485,0.03798907119,3,31.16666667,14,31.16666667,14,-0.708287759467631,-1.42783635221784,-0.686043386009693,0.0796914840766834,-0.0750070913816009,0.316721660943684,1.21532497335998,-0.127781221634916,-0.945889678193782,2.10554980093126,-0.968362293085363,-0.740451970684051,0.784012306320164,1.29032623394805,-1.7795895925757
Han22,224,35,114.4,field,maize,grain,rainfed,215.4,225,200,120,120,sandy loam,1.41,8.41,7.4,0.85,10.02,450,14.8,12,58.935,3.39795636,3,59.925,3.15529095,3,14.36666667,32.13333333,14.36666667,32.13333333,0.204606488873636,-0.117688979385354,-0.160420824499609,0.0796914840766834,1.14164679931908,0.839703415896984,1.19353624252309,-0.591483426114336,-0.307003646210186,0.632027341277817,-0.645040516441568,2.5037852789131,-0.40429878719404,-2.99348726439056,0.504529136310591
Han22,225,35,114.4,field,maize,grain,rainfed,215.4,225,200,120,120,sandy loam,1.41,8.41,7.4,0.85,10.02,450,14.8,6,58.935,3.39795636,3,58.655,3.08842037,3,14.36666667,32.13333333,14.36666667,32.13333333,0.204606488873636,-0.117688979385354,-0.160420824499609,0.0796914840766834,1.14164679931908,0.839703415896984,1.19353624252309,-0.591483426114336,-0.307003646210186,0.632027341277817,-0.645040516441568,2.5037852789131,-0.800402485032108,-2.99348726439056,0.504529136310591
Han22,226,35,114.4,field,maize,grain,rainfed,215.4,225,200,120,120,sandy loam,1.41,8.41,7.4,0.85,10.02,450,14.8,3,58.935,3.39795636,3,57.37,3.02075998,3,14.36666667,32.13333333,14.36666667,32.13333333,0.204606488873636,-0.117688979385354,-0.160420824499609,0.0796914840766834,1.14164679931908,0.839703415896984,1.19353624252309,-0.591483426114336,-0.307003646210186,0.632027341277817,-0.645040516441568,2.5037852789131,-0.998454333951143,-2.99348726439056,0.504529136310591
Han22,230,9.7167,77.7667,field,sorghum,grain,rainfed,218,225,100,100,80,sandy clay loam,1.47,8.5,3.2,0.95,9.8,489.6,9.8,15,1.66667,0.03363276276,3,1.66667,0.03217738594,3,33.66666667,41.83333333,33.66666667,41.83333333,0.219403682036665,-0.117688979385354,-1.21166594751978,-0.222728688982165,-0.0750070913816009,1.46728152184095,1.25890243503374,-1.51888783507318,-0.0408011328836875,0.347663357835925,-0.0250142522723516,-0.0507322404547346,-0.206246938275006,1.92779848072463,1.72636470658282
Han22,231,9.7167,77.7667,field,sorghum,grain,rainfed,218,225,100,100,80,sandy clay loam,1.47,8.5,3.2,0.95,8,515.5,10.6,15,58.3335,0.6021823264,3,61.111,0.6464752812,3,33.66666667,41.83333333,33.66666667,41.83333333,0.219403682036665,-0.117688979385354,-1.21166594751978,-0.222728688982165,-0.0750070913816009,1.46728152184095,1.25890243503374,-1.51888783507318,-0.0408011328836875,-1.9789510521432,0.380507976060545,0.357990562644119,-0.206246938275006,1.92779848072463,1.72636470658282
Han22,232,9.7167,77.7667,field,sorghum,grain,rainfed,531,225,100,100,80,sandy clay loam,1.47,8.5,3.2,0.95,9.8,489.6,9.8,15,10.4444,0.3123023724,3,12.2778,0.3144602188,3,33.66666667,41.83333333,33.66666667,41.83333333,2.00075808973977,-0.117688979385354,-1.21166594751978,-0.222728688982165,-0.0750070913816009,1.46728152184095,1.25890243503374,-1.51888783507318,-0.0408011328836875,0.347663357835925,-0.0250142522723516,-0.0507322404547346,-0.206246938275006,1.92779848072463,1.72636470658282
Han22,233,9.7167,77.7667,field,sorghum,grain,rainfed,531,225,100,100,80,sandy clay loam,1.47,8.5,3.2,0.95,7.8,119.9,12.4,15,5.2778,0.17456968368,3,4.86111,0.2837471406,3,33.66666667,41.83333333,33.66666667,41.83333333,2.00075808973977,-0.117688979385354,-1.21166594751978,-0.222728688982165,-0.0750070913816009,1.46728152184095,1.25890243503374,-1.51888783507318,-0.0408011328836875,-2.23746376436311,-5.81349177407435,1.27761686961654,-0.206246938275006,1.92779848072463,1.72636470658282
