meta_analytical_study,studyid,sources,country,lat,lon,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yi,vi
Han22,323,Yeboah et al. (2017),China,35.466700000000003,104.7333,wheat,grain,rainfed,252,225,50,100,80,sandy loam,1.25666666666667,8.3,7.65,2.11,9.8,585,8.45,4.5,1896.89,162.87,3,1944.44,202.08,3,0.206725946396363,0.670227968076123
Han22,324,Yeboah et al. (2017),China,35.466700000000003,104.7333,wheat,grain,rainfed,252,225,50,100,80,sandy loam,1.25666666666667,8.3,7.65,2.11,9.8,585,8.45,15,1896.89,162.87,3,2133.33,210.51,3,1.00238225798032,0.750397515926144
Han22,343,Zhang et al.(2016),China,38.299999999999997,112.7167,maize,grain,rainfed,325,225,217,145.5,80,loam,1.29,8.4,4.3,0.4,8.12,4670,0.64,40,8710,550,3,9830,370,3,1.90652741975201,0.96957056685552
Han22,344,Zhang et al.(2016),China,38.299999999999997,112.7167,maize,grain,rainfed,325,225,217,145.5,80,loam,1.29,8.4,4.3,0.4,8.13,4670,0.63,20,8710,550,3,9610,560,3,1.29381435198367,0.806162964783244
Han22,345,Zhang et al.(2016),China,38.299999999999997,112.7167,maize,grain,rainfed,377,225,217,145.5,80,loam,1.17,8.4,4.3,0.4,8.38,4670,0.67,40,8500,820,3,9510,640,3,1.09562719298647,0.766699912167617
Han22,346,Zhang et al.(2016),China,38.299999999999997,112.7167,maize,grain,rainfed,377,225,217,145.5,80,loam,1.17,8.4,4.3,0.4,8.42,4670,0.61,20,8500,820,3,8490,1710,3,-0.00594997343871852,0.66666961684866
Liu22,359,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,200,100,80,unknown,1.36,5.9,4.31,1.2,9.81,585,8.45,22.5,7730,480,4,8030,0.18,4,0.76776472261951,0.536841416831188
Liu22,360,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,200,100,80,sand,1.36,5.9,4.31,1.2,10.2,585,8.45,22.5,7730,480,4,8600,0.29,4,2.22651744578988,0.809836246025419
Liu22,361,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,200,100,80,sand,1.36,5.9,4.31,1.2,9.81,585,8.45,22.5,7710,1160,4,7920,0.75,4,0.222386992258054,0.503090998395349
Liu22,362,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,200,100,80,sand,1.36,5.9,4.31,1.2,10.2,585,8.45,22.5,7710,1160,4,8820,0.79,4,1.17547407502952,0.586358706316657
Liu22,363,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,197.7,100,80,sand,1.36,5.9,4.31,1.2,9.81,585,8.45,22.5,6660,210,4,6800,0.57,4,0.81894607831878,0.541917042449607
Liu22,364,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,197.7,100,80,sand,1.36,5.9,4.31,1.2,10.2,585,8.45,22.5,6660,210,4,7980,0.55,4,7.72149355657711,4.22634142151636
Liu22,365,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,197.7,100,80,sand,1.36,5.9,4.31,1.2,9.81,585,8.45,22.5,6980,520,4,7450,0.91,4,1.1103042844737,0.57704847525754
Liu22,366,Dong et al. (2015),unknown,unknown,unknown,rice,grain,flooded,421,225,197.7,100,80,sand,1.36,5.9,4.31,1.2,10.2,585,8.45,22.5,6980,520,4,8490,0.39,4,3.56715226649389,1.29528595577203
Liu22,367,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,20,5080,70,3,5290,0.44,3,3.38507062953136,1.62155859724299
Liu22,368,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,40,5080,70,3,5000,0.15,3,-1.28957323021483,0.80524992634056
Liu22,369,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,20,7300,430,3,7620,0.32,3,0.839723798802001,0.725428004856205
Liu22,370,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,40,7300,430,3,7110,0.63,3,-0.498585608477244,0.687382300748385
Liu22,371,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,20,6380,400,3,6360,0.2,3,-0.0564189513024072,0.666931924838839
Liu22,372,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,40,6380,400,3,6360,0.71,3,-0.0564188694774953,0.666931924069426
Liu22,373,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,20,7850,260,3,7740,0.52,3,-0.477390231299363,0.685658452745005
