meta_analytical_study,no.,sources,year_of_experiment,country,lat,lon,experiment_type,crop,crop_type,water_magement,rainfallmm,irrigation_amountmm,n_fertilizerkg_ha,p_fertilizerkg_ha,k_fertilizerkg_ha,soil_texture,bulk_densityg_cm3,s_phwater,s_socg_kg,s_tng_kg,s_c:n,b_phwater,b_totalcg_kg,b_totalng_kg,b_c:n,biochar_ratet_ha,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,socc_mean,socc_sd,socc_n,socr_mean,socr_sd,socr_n,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n
,37,Akhtar  et al. (2014）,,China,40.0167,116.2833,pot,tomato,vegetable,irrigation,,22.7,250,180,180,sandy loam,1.63,8.02,9.75,0.83,11.7469879518072,10.64,623,10.5,59.3333333333333,,121.132,5.66,3,135.849,4.52800000000002,3,2.21305024,0.098136367238,3,2.60358104,0.227813788904,3,,,,,,,,,,,,,,,,,,
,38,Babalola  et al. (2022),,Nigeria,5.2167,7.2667000000000002,field,maize,grain,irrigation,304.3,,45,,45,sandy clay loam,1.35,5.12,0.94,4.6,0.204347826086957,9.42,69,10.09,6.73,20,21621.6,1014.8,3,23783.8,1579.8,3,480.48,27.70255488,3,528.528888888889,27.8291601155556,3,,,,,,,,,,,,,,,,,,
,39,Babalola  et al. (2022),,Nigeria,5.2167,7.2667000000000002,field,maize,grain,irrigation,304.3,,45,,45,sandy clay loam,1.35,5.12,0.94,4.6,0.204347826086957,9.42,69,10.09,6.73,20,17702.7,1524.6,3,20675.7,1551.6,3,393.393333333333,22.6814860266667,3,459.46,24.19240684,3,,,,,,,,,,,,,,,,,,
,40,Babalola  et al. (2022),,Nigeria,5.2167,7.2667000000000002,field,maize,grain,irrigation,3.13,,45,,45,sandy clay loam,1.35,4.99,1.18,1.8,0.655555555555556,9.42,69,10.09,6.73,20,13636.4,1545.4,3,15636.4,2181.8,3,303.031111111111,17.4715617422222,3,347.475555555556,18.2959779022222,3,,,,,,,,,,,,,,,,,,
,41,Babalola  et al. (2022),,Nigeria,5.2167,7.2667000000000002,field,maize,grain,irrigation,304.3,,45,,45,sandy clay loam,1.35,5.12,0.94,4.6,0.204347826086957,9.42,69,10.09,6.73,20,22837.8,1707.7,3,24459.5,1858.7,3,507.506666666667,29.2608043733333,3,543.544444444445,28.6197891777778,3,,,,,,,,,,,,,,,,,,
,42,Babalola  et al. (2022),,Nigeria,5.2167,7.2667000000000002,field,maize,grain,irrigation,3.13,,45,,45,sandy clay loam,1.35,4.99,1.18,1.8,0.655555555555556,9.42,69,10.09,6.73,20,9454.55,1999.95,3,12272.7,1545.5,3,210.101111111111,12.1135896622222,3,272.726666666667,14.3601499066667,3,,,,,,,,,,,,,,,,,,
,43,Babalola  et al. (2022),,Nigeria,5.2167,7.2667000000000002,field,maize,grain,irrigation,3.13,,45,,45,sandy clay loam,1.35,4.99,1.18,1.8,0.655555555555556,9.42,69,10.09,6.73,20,15363.6,2454.6,3,16090.9,2454.6,3,341.413333333333,19.6845271466667,3,357.575555555556,18.8277833022222,3,,,,,,,,,,,,,,,,,,
,44,Cabrera et al.(2017),,America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,720,,30,7.5,15,sandy loam,,6,20,0.638,31.3479623824451,9.4,,,,5,21000,1383.627,4,19900,1190.8558,4,700,40.3592,4,663.333333333333,34.9271533333333,4,,,,,,,,,,,,,,,,,,
,45,Cabrera et al.(2017),,America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,720,,30,7.5,15,sandy loam,,6,20,0.638,31.3479623824451,5.1,,4.025,,8,21000,1383.627,4,19400,1160.9348,4,700,40.3592,4,646.666666666667,34.0495866666667,4,,,,,,,,,,,,,,,,,,
,46,Cabrera et al.(2017),,America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,678,,30,7.5,15,sandy loam,,6,20,0.638,31.3479623824451,9.4,,,,5,4900,322.846,4,3900,233.3838,4,163.33333333333,9.41714666666667,4,130,6.84502,4,,,,,,,,,,,,,,,,,,
