moderator 1,ES,SE,n,N pool.x,SOC.x,WHC.x,wm_Y,wm_bulk density,wm_porosity,wm_soil ph,wm_soil water content,N pool.y,SOC.y,WHC.y,wm_sd_Y,wm_sd_bulk density,wm_sd_porosity,wm_sd_soil ph,wm_sd_soil water content
SSA,-7.98076923076923,1.83087589102626,1,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-7.69230769230769,0.292940142564202,10,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-4.80769230769231,1.90411092666732,2,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-2.5,1.53793574846206,3,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,-1.05769230769231,0.439410213846304,1,,,,,-6.66539026090611,,,,,,,,0.205844281154426,,,
SSA,1.02222222222222,4.01360544217687,1,,,,,,10.8030834197479,,,,,,,,0.111085888805344,,
SSA,2.26666666666666,1.67800453514739,1,,,,,,10.8030834197479,,,,,,,,0.111085888805344,,
SSA,5.46666666666666,0.714285714285714,5,,,,,,10.8030834197479,,,,,,,,0.111085888805344,,
SSA,8.13333333333333,1.89342403628118,1,,,,,,10.8030834197479,,,,,,,,0.111085888805344,,
SSA,10.9777777777777,-0.113378684807258,5,,,,,,10.8030834197479,,,,,,,,0.111085888805344,,
SSA,12.9333333333333,-1.30385487528343,7,,,,,,10.8030834197479,,,,,,,,0.111085888805344,,
ash content,-18.9423076923076,3.66175178205253,8,,,,,-4.12419604977864,,,,,,,,0.35211794627092,,,
ash content,-12.0192307692307,2.70969631871887,6,,,,,-4.12419604977864,,,,,,,,0.35211794627092,,,
ash content,-5.09615384615384,1.68440581974416,5,,,,,-4.12419604977864,,,,,,,,0.35211794627092,,,
ash content,-3.94230769230769,0.366175178205253,7,,,,,-4.12419604977864,,,,,,,,0.35211794627092,,,
ash content,2.26666666666666,2.81179138321995,1,,,,,,6.06178790927741,,,,,,,,0.785383264870193,,
ash content,4.22222222222222,1.13378684807256,2,,,,,,6.06178790927741,,,,,,,,0.785383264870193,,
ash content,6,2.04081632653061,1,,,,,,6.06178790927741,,,,,,,,0.785383264870193,,
ash content,7.77777777777777,2.99319727891155,1,,,,,,6.06178790927741,,,,,,,,0.785383264870193,,
ash content,7.79702970297029,1.08554059921841,93,,,,10.8520223961164,,,,,,,,0.608042396177256,,,,
ash content,9.02222222222222,1.95011337868479,2,,,,,,6.06178790927741,,,,,,,,0.785383264870193,,
ash content,9.21,3.50140056022408,11,13.6153916165877,,,,,,,,0.723947232838897,,,,,,,
