ind_code,mod1,group1,mod2,group2,ES,SE,n
soil pH,bc dose,very low,,,6.92682926829268,1.09507217521155,38
soil pH,bc dose,low,,,6.92682926829268,1.09507217521155,38
soil pH,bc dose,med,,,6.14634146341463,1.24440019910403,42
soil pH,bc dose,high,,,12.0975609756097,1.36884021901443,48
soil pH,bc dose,high,,,12.5853658536585,1.49328023892482,35
soil pH,bc dose,very high,,,12.5853658536585,1.49328023892482,35
SWC,bc dose,very low,,,10.3504043126684,1.16893118433355,88
SWC,bc dose,low,,,10.3504043126684,1.16893118433355,88
SWC,bc dose,med,,,9.13746630727762,2.1315803949612,28
SWC,bc dose,high,,,6.44204851752021,1.82215743440233,32
SWC,bc dose,high,,,16.2803234501347,2.71604598712798,19
SWC,bc dose,high,,,11.832884097035,1.8909180923043,42
SWC,bc dose,very high,,,11.832884097035,1.8909180923043,42
WHC,bc dose,very low,,,11.7948717948717,2.33904450032162,20
WHC,bc dose,low,,,10.2564102564102,2.16361616279748,84
WHC,bc dose,med,,,13.6752136752136,1.9004736565113,96
WHC,bc dose,high,,,21.025641025641,1.98818782527339,70
WHC,bc dose,very high,,,25.2991452991452,4.23951815683293,60
WHC,bc dose,very low,,,2.31124807395993,4.19518657540294,16
WHC,bc dose,low,,,2.31124807395993,4.19518657540294,16
WHC,bc dose,med,,,15.5007704160246,5.86695265432293,11
WHC,bc dose,high,,,0.832049306625577,7.19174841497648,7
WHC,bc dose,high,,,10.3235747303543,12.3647604327666,4
WHC,bc dose,high,,,0.955315870570107,3.62741696369429,19
WHC,bc dose,very high,,,0.955315870570107,3.62741696369429,19
yield,bc dose,very low,,,11.9758064516129,0.655372646296071,20
yield,bc dose,low,,,10.4032258064516,0.528526327658112,84
yield,bc dose,med,,,13.7903225806451,0.634231593189771,96
yield,bc dose,high,,,21.1693548387096,0.591949486977117,70
yield,bc dose,very high,,,25.4032258064516,0.930206336678316,60
yield,bc dose,very high,crop type,grain,12.78,1.44373694359634,108
yield,bc dose,high,crop type,grain,12.78,1.44373694359634,108
yield,bc dose,med,crop type,grain,6.60535117056856,1.5818335208099,94
yield,bc dose,low,crop type,grain,9.19732441471572,1.45629117788847,109
yield,bc dose,very low,crop type,grain,9.19732441471572,1.45629117788847,109
yield,bc dose,very low,,,12.4373956594323,1.16265203911281,113
yield,bc dose,low,,,12.4373956594323,1.16265203911281,113
yield,bc dose,med,,,16.6444073455759,1.28189840209872,86
yield,bc dose,high,,,22.3706176961602,2.29549248747913,32
yield,bc dose,high,,,25.2921535893155,1.93775339852135,44
yield,bc dose,high,,,17.3455759599332,1.46076794657763,59
yield,bc dose,very high,,,17.3455759599332,1.46076794657763,59
yield,bc dose,very low,,,12.7007299270073,3.0238924838228,22
yield,bc dose,low,,,12.7007299270073,3.0238924838228,22
yield,bc dose,med,,,56.0583941605839,22.8471876555499,39
yield,bc dose,high,,,67.4452554744525,14.7834743653559,20
yield,bc dose,high,,,70.0729927007299,26.9910403185663,22
yield,bc dose,very high,,,70.0729927007299,26.9910403185663,22
bulk density,bc hydrogen,very low,soil texture,coarse,29.9038461538461,6.13723750369714,3
bulk density,bc hydrogen,very low,soil texture,fine,19.8076923076923,7.09849157054125,1
bulk density,bc hydrogen,very high,soil texture,coarse,12.3076923076923,4.80627033422064,2
bulk density,bc hydrogen,very high,soil texture,medium,12.0192307692307,5.76752440106476,2
bulk density,bc hydrogen,very low,soil texture,medium,12.0192307692307,0.73942620526472,3
bulk density,bc hydrogen,high,soil texture,coarse,9.42307692307692,1.03519668737059,9
bulk density,bc hydrogen,low,soil texture,fine,9.13461538461538,1.99645075421472,5
bulk density,bc hydrogen,low,soil texture,medium,7.98076923076923,1.18308192842352,6
bulk density,bc hydrogen,low,soil texture,coarse,6.53846153846154,1.25702454895002,5
bulk density,bc hydrogen,high,soil texture,fine,3.94230769230769,3.17953268263825,2
porosity,bc hydrogen,high,soil texture,coarse,12.7555555555555,1.5032798833819,5
porosity,bc hydrogen,low,soil texture,coarse,22.7111111111111,1.77660349854227,2
porosity,bc hydrogen,very low,soil texture,coarse,29.2888888888888,1.32106413994171,1
porosity,bc hydrogen,low,soil texture,medium,9.02222222222222,1.22995626822157,4
porosity,bc hydrogen,very low,soil texture,medium,3.68888888888889,4.50983965014577,1
porosity,bc hydrogen,low,soil texture,fine,3.24444444444444,1.27551020408163,2
bulk density,bc n content,very high,soil texture,coarse,20.3846153846153,2.63646128307783,5
bulk density,bc n content,high,soil texture,coarse,18.6538461538461,1.83087589102627,5
bulk density,bc n content,low,soil texture,fine,9.42307692307692,1.9041109266673,7
bulk density,bc n content,low,soil texture,medium,8.26923076923077,0.512645249487355,7
bulk density,bc n content,very low,soil texture,medium,8.26923076923077,1.31823064153889,5
bulk density,bc n content,very low,soil texture,fine,8.26923076923077,1.7576408553852,4
bulk density,bc n content,high,soil texture,medium,7.11538461538462,1.17176057025681,5
bulk density,bc n content,very low,soil texture,coarse,6.82692307692308,0.366175178205253,14
bulk density,bc n content,low,soil texture,coarse,6.53846153846154,0.292940142564202,18
bulk density,bc n content,high,soil texture,fine,6.25,0.366175178205253,4
bulk density,bc n content,very high,soil texture,medium,3.36538461538462,2.70969631871887,2
porosity,bc n content,very high,soil texture,coarse,4.22222222222222,0.907029478458051,3
porosity,bc n content,high,soil texture,coarse,29.8222222222222,2.81179138321995,1
porosity,bc n content,low,soil texture,coarse,10.9777777777777,0.816326530612224,9
porosity,bc n content,very low,soil texture,coarse,13.6444444444444,1.08843537414964,7
porosity,bc n content,very high,soil texture,medium,8.84444444444444,1.63265306122448,2
porosity,bc n content,high,soil texture,medium,4.75555555555555,2.08616780045351,3
porosity,bc n content,low,soil texture,medium,7.6,1.26984126984127,2
porosity,bc n content,very low,soil texture,medium,6,1.99546485260771,1
porosity,bc n content,high,soil texture,fine,9.02222222222222,1.81405895691608,1
porosity,bc n content,low,soil texture,fine,4.04444444444444,1.26984126984127,3
porosity,bc n content,very low,soil texture,fine,2.26666666666666,2.90249433106576,1
N pool,bc ph,neutral,,,20.2666666666666,0.503340349592755,127
N pool,bc ph,alkaline,,,18.1333333333333,0.388944815594413,154
N pool,bc ph,very alkaline,,,18.1333333333333,0.388944815594413,154
N pool,bc ph,very alkaline,crop type,grain,11.6129032258064,3.14611978559775,73
N pool,bc ph,alkaline,crop type,grain,8.13895781637717,2.64673569264571,102
N pool,bc ph,neutral,crop type,grain,23.95,3.80102040816327,59
WHC,bc ph,neutral,,,18.6274509803921,1.73805786050684,127
WHC,bc ph,alkaline,,,17.4836601307189,1.56985871271584,154
WHC,bc ph,very alkaline,,,17.4836601307189,1.56985871271584,154
yield,bc ph,neutral,,,18.7290969899665,0.503340349592755,127
yield,bc ph,alkaline,,,17.6588628762541,0.43470302919375,154
yield,bc ph,very alkaline,,,17.6588628762541,0.43470302919375,154
yield,bc ph,very alkaline,crop type,grain,8.01980198019802,2.38039750973799,105
yield,bc ph,alkaline,crop type,grain,7.22772277227722,2.1473515996937,128
yield,bc ph,neutral,crop type,grain,23.09,3.01785714285714,74
N pool,bulk density,very low,,,18.0487804878048,0.439110070257602,121
N pool,bulk density,low,,,18.0487804878048,0.439110070257602,121
N pool,bulk density,high,,,13.9024390243902,0.439110070257602,145
N pool,bulk density,very high,,,13.9024390243902,0.439110070257602,145
WHC,bulk density,very low,,,14.4649446494464,1.59517901453385,121
WHC,bulk density,low,,,14.4649446494464,1.59517901453385,121
WHC,bulk density,high,,,17.1217712177121,1.39261659998987,145
WHC,bulk density,very high,,,17.1217712177121,1.39261659998987,145
WHC,bulk density,very low,,,10.4468412942989,5.29918304261426,8
WHC,bulk density,low,,,1.51001540832049,2.39724947165883,31
WHC,bulk density,high,,,8.59784283513097,4.76295618711163,12
WHC,bulk density,very high,,,25.6086286594761,8.95814276251459,6
yield,bulk density,very low,,,15.940959409594,0.46499612503227,121
yield,bulk density,low,,,15.940959409594,0.46499612503227,121
yield,bulk density,high,,,19.4833948339483,0.523120640661327,145
yield,bulk density,very high,,,19.4833948339483,0.523120640661327,145
WHC,climate,water management,,,15.8974358974358,1.72504531898719,118
WHC,climate,water management,,,18.8034188034188,1.63733115022515,151
WHC,climate,water management,,,6.49572649572649,1.81275948774923,112
WHC,climate,irrigation,,,14.3589743589743,2.22209227530554,70
WHC,climate,irrigation,,,12.8205128205128,1.9004736565113,107
WHC,climate,irrigation,,,12.4786324786324,2.33904450032159,64
WHC,climate,irrigation,,,1.36752136752136,2.80685340038594,46
yield,climate,water management,,,15.96,1.22618108016689,118
yield,climate,water management,,,18.34,1.04591836734694,151
yield,climate,water management,,,5.55,2.8469387755102,112
yield,climate,irrigation,,,15.48,0.63423159318977,70
yield,climate,irrigation,,,11.97,0.507385274551811,107
yield,climate,irrigation,,,12.09,0.634231593189745,64
yield,climate,irrigation,,,1.24,0.635204081632653,46
N pool,crop type,industrial,,,22.994923857868,0.716075904045817,33
N pool,crop type,grain,,,10.0507614213197,0.358037952022916,236
N pool,crop type,vegetables,,,17.6649746192893,0.402792696025765,112
N pool,crop type,grain,,,12.04,0.64030612244898,301
WHC,crop type,industrial,,,26.6666666666666,3.12847201918015,33
WHC,crop type,grain,,,11.6239316239316,1.14028419390677,236
WHC,crop type,vegetables,,,15.8974358974358,1.8712356002573,112
yield,crop type,industrial,,,16.69,0.993629495997296,33
yield,crop type,grain,,,11.61,0.338256849701199,236
yield,crop type,vegetables,,,18.99,0.486244221445484,112
yield,crop type,grain,,,10.73,0.584183673469387,378
yield,crop type,grain crop,,,9.28213689482471,0.715478177915566,175
yield,crop type,others,,,40.8347245409015,1.99737658001431,59
yield,crop type,vegetables,,,48.0801335559265,2.7128547579299,26
yield,crop type,others,,,17.1118530884808,1.10302885761982,67
yield,crop type,others,,,17.4624373956594,4.82947770093012,10
N pool,N rate,very low,,,12.0304568527918,0.447547440028622,106
N pool,N rate,low,,,14.7715736040609,0.380415324024337,142
N pool,N rate,high,,,14.3147208121827,0.492302184031531,73
N pool,N rate,very high,,,10.8121827411167,0.783208020050117,41
N pool,N rate,very high,crop type,grain,12.6297577854671,1.29884270781482,69
N pool,N rate,high,crop type,grain,12.6297577854671,1.29884270781482,69
N pool,N rate,high,crop type,grain,11.3062283737024,1.01107516177201,133
N pool,N rate,low,crop type,grain,11.3062283737024,1.01107516177201,133
N pool,N rate,low,crop type,grain,8.99653979238754,1.51661274265802,52
N pool,N rate,very low,crop type,grain,8.99653979238754,1.51661274265802,52
WHC,N rate,very low,,,11.6239316239316,1.95894976901935,106
WHC,N rate,low,,,16.2393162393162,1.57885503771709,142
WHC,N rate,high,,,10.4273504273504,2.25133033155956,73
WHC,N rate,very high,,,12.8205128205128,3.01151979416406,41
WHC,N rate,coarse,,,10.1845018450184,1.46857750544386,157
WHC,N rate,medium,,,14.4649446494464,2.50670987998175,56
yield,N rate,very low,,,13.3064516129032,0.528526327658138,106
yield,N rate,low,,,16.6935483870967,0.422821062126505,142
yield,N rate,high,,,14.516129032258,0.63423159318977,73
yield,N rate,very high,,,12.4596774193548,1.12047581463526,41
yield,N rate,very high,crop type,grain,11.6955017301038,1.4807348601355,75
yield,N rate,high,crop type,grain,11.6955017301038,1.4807348601355,75
yield,N rate,high,crop type,grain,10.4238754325259,0.989754353880028,145
yield,N rate,low,crop type,grain,10.4238754325259,0.989754353880028,145
yield,N rate,low,crop type,grain,12.2923875432525,1.48073486013549,93
yield,N rate,very low,crop type,grain,12.2923875432525,1.48073486013549,93
bulk density,particle size,small,soil texture,coarse,12.2558922558922,1.25827357970213,11
bulk density,particle size,big,soil texture,coarse,11.8518518518518,1.1031439602868,25
bulk density,particle size,very big,soil texture,coarse,11.1784511784511,1.34445670159954,4
bulk density,particle size,very big,soil texture,fine,10.7744107744107,5.3950634307777,1
bulk density,particle size,big,soil texture,fine,9.96632996632996,1.37892995035852,10
bulk density,particle size,very big,soil texture,medium,8.41750841750841,5.2226971869829,1
bulk density,particle size,big,soil texture,medium,7.67676767676767,2.05115830115828,6
bulk density,particle size,very small,soil texture,medium,7.47474747474747,0.775648097076669,5
bulk density,particle size,very small,soil texture,coarse,6.5993265993266,0.879067843353559,12
bulk density,particle size,small,soil texture,medium,6.12794612794612,1.08590733590734,3
bulk density,particle size,very small,soil texture,fine,4.71380471380471,1.43063982349697,5
bulk density,particle size,small,soil texture,fine,3.7037037037037,1.05143408714837,2
porosity,particle size,very high,soil texture,coarse,8.69955156950672,1.05243891278484,6
porosity,particle size,high,soil texture,coarse,18.9237668161434,0.869406058387474,12
porosity,particle size,low,soil texture,coarse,29.6860986547085,2.51670174796375,5
porosity,particle size,very low,soil texture,coarse,12.6457399103139,1.37274640798022,7
porosity,particle size,high,soil texture,medium,10.134529147982,1.51002104877824,2
porosity,particle size,high,soil texture,fine,2.24215246636771,3.06580031115585,3
N pool,SOC,very low,,,20.9756097560975,0.585480093676837,84
N pool,SOC,low,,,8.17073170731707,0.585480093676816,97
N pool,SOC,med,,,16.4634146341463,0.690030110404821,60
N pool,SOC,high,,,13.170731707317,0.522750083640025,77
N pool,SOC,very high,,,13.170731707317,0.522750083640025,77
soil pH,SOC,very low,,,17.960088691796,1.00117652382459,151
soil pH,SOC,low,,,17.8270509977827,1.00117652382462,70
soil pH,SOC,med,,,13.0376940133037,1.2217747409385,150
soil pH,SOC,high,,,12.3059866962305,0.780578306710714,159
soil pH,SOC,very high,,,10.9756097560975,0.780578306710699,163
SWC,SOC,very low,,,10.6199460916442,1.47835414489244,28
SWC,SOC,low,,,10.6199460916442,1.47835414489244,28
SWC,SOC,med,,,12.1024258760107,2.88794763188294,123
SWC,SOC,high,,,9.81132075471698,3.16299026349082,27
SWC,SOC,very high,,,9.81132075471698,3.16299026349082,27
WHC,SOC,very low,,,27.1586715867158,2.1522256545298,84
WHC,SOC,low,,,10.3321033210332,2.10158505089379,97
WHC,SOC,med,,,15.0553505535055,3.13971742543169,60
WHC,SOC,high,,,4.87084870848708,2.25350686180179,77
WHC,SOC,very high,,,4.87084870848708,2.25350686180179,77
yield,SOC,very low,,,26.36,0.607142857142857,84
yield,SOC,low,,,8.85608856088561,0.561870317747352,97
yield,SOC,med,,,17.6014760147601,0.619994833376377,60
yield,SOC,high,,,10.4059040590405,0.503745802118304,77
yield,SOC,very high,,,10.4059040590405,0.503745802118304,77
yield,SOC,very low,,,25.4090150250417,1.04340567612689,154
yield,SOC,low,,,25.4090150250417,1.04340567612689,154
yield,SOC,med,,,18.0467445742904,1.37133317433819,64
yield,SOC,high,,,9.51585976627712,0.864536131647965,119
yield,SOC,very high,,,9.51585976627712,0.864536131647965,119
yield,SOC,very low,,,57.6496674057649,7.1835829675551,149
yield,SOC,low,,,59.6452328159645,12.5005656364541,51
yield,SOC,med,,,29.0465631929046,4.63821892393322,156
yield,SOC,high,,,27.9379157427937,3.84632788813972,116
yield,SOC,very high,,,19.0687361419068,3.39381872482916,125
N pool,soil C:N,high,crop type,grain,7.39,1.58163265306122,49
N pool,soil C:N,med,crop type,grain,11.49,1.30612244897959,67
N pool,soil C:N,low,crop type,grain,12.01,1.66071428571429,40
yield,soil C:N,high,crop type,grain,8.23,1.53061224489796,54
yield,soil C:N,med,crop type,grain,9.26,1.06122448979592,108
yield,soil C:N,low,crop type,grain,10.15,1.48724489795918,52
N pool,soil N,low,,,27.1951219512195,0.62730010036801,76
N pool,soil N,med,,,10.9756097560975,0.439110070257602,111
N pool,soil N,high,,,11.3414634146341,0.669120107059209,53
WHC,soil N,low,,,30.5535055350553,2.58267078543577,76
WHC,soil N,med,,,6.34686346863468,1.82306173089582,111
WHC,soil N,high,,,10.4797047970479,2.73459259634373,53
yield,soil N,low,,,24.86,0.561224489795918,76
yield,soil N,med,,,11.5129151291512,0.523120640661327,111
yield,soil N,high,,,7.63837638376383,0.716869026091449,53
N pool,soil ph,acidic,,,10.7317073170731,0.543660086985592,80
N pool,soil ph,neutral,,,21.3414634146341,0.460020073603214,116
N pool,soil ph,alkaline,,,7.92682926829268,0.522750083640013,120
N pool,soil ph,alkaline,crop type,grain,32.18,3.04336734693878,15
N pool,soil ph,neutral,crop type,grain,9.40959409594095,0.940723360927875,146
N pool,soil ph,acidic,crop type,grain,11.070110701107,0.996060029217748,125
soil pH,soil ph,acidic,,,14.8337028824833,0.780578306710715,162
soil pH,soil ph,acidic,,,16.8292682926829,0.644825557717551,307
