moderator 1,group 1,moderator 2,group 2,ES,SE,n,mean_N pool,mean_SOC,mean_WHC,mean_Y,mean_bulk density,mean_porosity,mean_soil ph,mean_soil water content,sd_N pool,sd_SOC,sd_WHC,sd_Y,sd_bulk density,sd_porosity,sd_soil ph,sd_soil water content
ash content,high,crop type,grain,11.45,2.53226290516205,35,11.45,,,,,,,,2.53226290516205,,,,,,,
ash content,high,crop type,grain,11.74,2.30677377333913,35,,,,11.74,,,,,,,,2.30677377333913,,,,
ash content,high,soil texture,medium,9.02222222222222,1.95011337868479,2,,,,,,9.02222222222222,,,,,,,,1.95011337868479,,
ash content,low,,,20.066889632107,2.63109728196212,36,,,,20.066889632107,,,,,,,,2.63109728196212,,,,
ash content,low,,,20.0980392156862,5.66270464229648,36,,,20.0980392156862,,,,,,,,5.66270464229648,,,,,
ash content,low,,,20.5333333333333,2.81413013635946,36,20.5333333333333,,,,,,,,2.81413013635946,,,,,,,
ash content,low,crop type,grain,7.79702970297029,1.08554059921841,93,,,,7.79702970297029,,,,,,,,1.08554059921841,,,,
ash content,low,crop type,grain,11.2623762376237,1.49017940509535,59,11.3106380595165,,,,,,,,1.28430072918778,,,,,,,
ash content,low,crop type,grain,11.45,2.53226290516205,35,11.3106380595165,,,,,,,,1.28430072918778,,,,,,,
ash content,low,soil texture,coarse,-3.94230769230769,0.366175178205253,7,,,,,-3.94230769230769,,,,,,,,0.366175178205253,,,
ash content,low,soil texture,coarse,4.22222222222222,1.13378684807256,2,,,,,,4.22222222222222,,,,,,,,1.13378684807256,,
ash content,low,soil texture,medium,7.77777777777777,2.99319727891155,1,,,,,,7.77777777777777,,,,,,,,2.99319727891155,,
ash content,very high,,,14.5333333333333,4.23263475793903,17,14.5333333333333,,,,,,,,4.23263475793903,,,,,,,
ash content,very high,,,14.8494983277591,3.95808547634299,17,,,,14.8494983277591,,,,,,,,3.95808547634299,,,,
ash content,very high,,,14.8692810457516,9.08275398071315,17,,,14.8692810457516,,,,,,,,9.08275398071315,,,,,
ash content,very high,crop type,grain,11.45,2.53226290516205,35,11.45,,,,,,,,2.53226290516205,,,,,,,
ash content,very high,crop type,grain,11.74,2.30677377333913,35,,,,11.74,,,,,,,,2.30677377333913,,,,
ash content,very high,soil texture,coarse,-5.09615384615384,1.68440581974416,5,,,,,-5.09615384615384,,,,,,,,1.68440581974416,,,
ash content,very high,soil texture,medium,6,2.04081632653061,1,,,,,,6,,,,,,,,2.04081632653061,,
ash content,very high,soil texture,medium,22.3076923076923,4.76027731666829,8,,,,,22.3076923076923,,,,,,,,4.76027731666829,,,
ash content,very low,,,24.0196078431372,3.84054720789416,39,,,24.0196078431372,,,,,,,,3.84054720789416,,,,,
ash content,very low,,,24.12,2.50510204081633,39,,,,24.12,,,,,,,,2.50510204081633,,,,
ash content,very low,,,24.9333333333333,2.58533906836276,39,24.9333333333333,,,,,,,,2.58533906836276,,,,,,,
ash content,very low,crop type,grain,7.79702970297029,1.08554059921841,93,,,,7.98816195800858,,,,,,,,1.01627248215074,,,,
ash content,very low,crop type,grain,9.21,3.50140056022408,11,10.9476359647738,,,,,,,,1.37116420271091,,,,,,,
ash content,very low,crop type,grain,9.34405940594059,2.89129563445671,13,,,,7.98816195800858,,,,,,,,1.01627248215074,,,,
ash content,very low,crop type,grain,11.2623762376237,1.49017940509535,59,10.9476359647738,,,,,,,,1.37116420271091,,,,,,,
ash content,very low,soil texture,coarse,-18.9423076923076,3.66175178205253,8,,,,,-18.9423076923076,,,,,,,,3.66175178205252,,,
ash content,very low,soil texture,coarse,15.4222222222222,3.12925170068025,3,,,,,,15.4222222222222,,,,,,,,3.12925170068025,,
ash content,very low,soil texture,fine,-12.0192307692307,2.70969631871887,6,,,,,-12.0192307692307,,,,,,,,2.70969631871887,,,
ash content,very low,soil texture,fine,2.26666666666666,2.81179138321995,1,,,,,,2.26666666666666,,,,,,,,2.81179138321995,,
bc C:N,high,,,11.2374581939799,0.709252310789788,41,,,,11.2374581939799,,,,,,,,0.709252310789788,,,,
bc C:N,high,,,18.2666666666666,0.800768737988469,41,18.2666666666666,,,,,,,,0.800768737988469,,,,,,,
bc C:N,high,,,21.2418300653594,2.43888764296929,41,,,21.2418300653594,,,,,,,,2.43888764296929,,,,,
bc C:N,low,,,13.8888888888888,1.48575913882038,113,,,13.8888888888888,,,,,,,,1.48575913882038,,,,,
bc C:N,low,,,14.4,0.526219456392423,113,14.4,,,,,,,,0.526219456392423,,,,,,,
bc C:N,low,,,15.9197324414715,0.526219456392423,113,,,,15.9197324414715,,,,,,,,0.526219456392423,,,,
bc C:N,med,,,14.2666666666666,0.617735883591097,81,14.2666666666666,,,,,,,,0.617735883591097,,,,,,,
bc C:N,med,,,15.032679738562,1.76609105180533,81,,,15.032679738562,,,,,,,,1.76609105180533,,,,,
bc C:N,med,,,15.1170568561872,0.709252310789771,81,,,,15.1170568561872,,,,,,,,0.709252310789771,,,,
bc CEC,high,soil texture,coarse,-7.11538461538462,1.24499560589786,2,,,,,-7.11538461538462,,,,,,,,1.24499560589786,,,
bc CEC,high,soil texture,coarse,25.7333333333333,2.53968253968255,2,,,,,,25.7333333333333,,,,,,,,2.53968253968255,,
bc CEC,low,soil texture,coarse,-17.2115384615384,1.61117078410311,6,,,,,-17.2115384615384,,,,,,,,1.61117078410311,,,
bc CEC,low,soil texture,coarse,12.9333333333333,1.54195011337867,4,,,,,,12.9333333333333,,,,,,,,1.54195011337867,,
bc CEC,low,soil texture,fine,-9.42307692307692,1.39146567717995,3,,,,,-9.42307692307692,,,,,,,,1.39146567717995,,,
bc CEC,low,soil texture,fine,5.46666666666666,0.952380952380951,2,,,,,,5.46666666666666,,,,,,,,0.952380952380951,,
bc CEC,low,soil texture,medium,-3.94230769230769,2.27028610487257,1,,,,,-3.94230769230769,,,,,,,,2.27028610487257,,,
bc CEC,very high,soil texture,coarse,-7.69230769230769,2.70969631871887,3,,,,,-7.69230769230769,,,,,,,,2.70969631871887,,,
bc CEC,very high,soil texture,fine,-8.55769230769231,3.51528171077043,1,,,,,-8.55769230769231,,,,,,,,3.51528171077043,,,
bc CEC,very high,soil texture,fine,-3.24444444444444,1.26984126984127,1,,,,,,-3.24444444444444,,,,,,,,1.26984126984127,,
bc CEC,very low,soil texture,coarse,-7.11538461538462,0.366175178205255,3,,,,,-7.11538461538462,,,,,,,,0.366175178205255,,,
bc CEC,very low,soil texture,coarse,23.9555555555555,0.861678004535154,2,,,,,,23.9555555555555,,,,,,,,0.861678004535154,,
bc CEC,very low,soil texture,fine,-16.9230769230769,4.24763206718094,2,,,,,-16.9230769230769,,,,,,,,4.24763206718094,,,
bc c content,high,,,6.4,1.92184497117231,96,6.4,,,,,,,,1.92184497117231,,,,,,,
bc c content,high,,,13.5620915032679,2.07445615608879,96,,,13.5620915032679,,,,,,,,2.07445615608879,,,,,
bc c content,high,soil texture,coarse,-14.6153846153846,1.3182306415389,20,,,,,-14.6153846153846,,,,,,,,1.3182306415389,,,
bc c content,high,soil texture,coarse,19.6888888888888,1.17913832199549,10,,,,,,19.6888888888888,,,,,,,,1.17913832199549,,
bc c content,high,soil texture,fine,-6.82692307692308,1.61117078410311,9,,,,,-6.82692307692308,,,,,,,,1.61117078410311,,,
bc c content,high,soil texture,fine,2.44444444444444,3.08390022675737,3,,,,,,2.44444444444444,,,,,,,,3.08390022675737,,
bc c content,high,soil texture,medium,-8.55769230769231,0.439410213846304,7,,,,,-8.55769230769231,,,,,,,,0.439410213846304,,,
bc c content,high,soil texture,medium,9.73333333333333,2.26757369614512,3,,,,,,9.73333333333333,,,,,,,,2.26757369614512,,
bc c content,high >60%,,,11.505016722408,1.41850462157956,96,,,,11.505016722408,,,,,,,,1.41850462157956,,,,
bc c content,low,,,13.7333333333333,2.05911961197033,77,13.7333333333333,,,,,,,,2.05911961197033,,,,,,,
bc c content,low,,,14.3790849673202,2.13052253868579,77,,,14.3790849673202,,,,,,,,2.13052253868579,,,,,
bc c content,low,soil texture,coarse,-6.53846153846154,0.439410213846304,9,,,,,-6.53846153846154,,,,,,,,0.439410213846304,,,
bc c content,low,soil texture,coarse,5.82222222222222,1.26984126984127,6,,,,,,5.82222222222222,,,,,,,,1.26984126984127,,
bc c content,low,soil texture,fine,-5.67307692307692,0.366175178205255,4,,,,,-5.67307692307692,,,,,,,,0.366175178205255,,,
bc c content,low,soil texture,fine,6.53333333333333,1.08843537414966,3,,,,,,6.53333333333333,,,,,,,,1.08843537414966,,
bc c content,low,soil texture,medium,-6.53846153846154,1.39146567717996,6,,,,,-6.53846153846154,,,,,,,,1.39146567717996,,,
bc c content,low,soil texture,medium,5.11111111111111,0.952380952380952,4,,,,,,5.11111111111111,,,,,,,,0.952380952380952,,
bc c content,low 20-60%,,,13.7792642140468,1.5557792623776,77,,,,13.7792642140468,,,,,,,,1.5557792623776,,,,
bc c content,very high,,,6.4,1.92184497117231,96,6.4,,,,,,,,1.92184497117231,,,,,,,
bc c content,very high,,,13.5620915032679,2.07445615608879,96,,,13.5620915032679,,,,,,,,2.07445615608879,,,,,
bc c content,very high,soil texture,coarse,-10.2884615384615,0.36617517820525,11,,,,,-10.2884615384615,,,,,,,,0.36617517820525,,,
bc c content,very high,soil texture,coarse,13.1111111111111,1.22448979591837,8,,,,,,13.1111111111111,,,,,,,,1.22448979591837,,
bc c content,very high,soil texture,fine,-8.84615384615385,2.12381603359046,2,,,,,-8.84615384615385,,,,,,,,2.12381603359046,,,
bc c content,very high,soil texture,medium,-7.40384615384615,0.585880285128406,3,,,,,-7.40384615384615,,,,,,,,0.585880285128406,,,
bc c content,very high,soil texture,medium,-2.35555555555555,0.22675736961451,2,,,,,,-2.35555555555555,,,,,,,,0.22675736961451,,
bc c content,very high >60%,,,11.505016722408,1.41850462157956,96,,,,11.505016722408,,,,,,,,1.41850462157956,,,,
bc c content,very low,,,13.7333333333333,2.05911961197033,77,18.3005524861878,,,,,,,,1.37747839860026,,,,,,,
bc c content,very low,,,14.3790849673202,2.13052253868579,77,,,18.3572217446988,,,,,,,,1.44337736491186,,,,,
bc c content,very low,,,21.7320261437908,1.96232339089482,89,,,18.3572217446988,,,,,,,,1.44337736491186,,,,,
bc c content,very low,,,22,1.85320765077332,89,18.3005524861878,,,,,,,,1.37747839860026,,,,,,,
bc c content,very low,soil texture,coarse,-8.26923076923077,1.53793574846206,7,,,,,-8.26923076923077,,,,,,,,1.53793574846206,,,
bc c content,very low,soil texture,coarse,21.2888888888888,1.45124716553288,3,,,,,,21.2888888888888,,,,,,,,1.45124716553288,,
bc c content,very low,soil texture,fine,-12.8846153846153,5.93203788692508,2,,,,,-12.8846153846153,,,,,,,,5.93203788692508,,,
bc c content,very low,soil texture,medium,-6.82692307692308,1.6111707841031,2,,,,,-6.82692307692308,,,,,,,,1.6111707841031,,,
bc c content,very low 20-60%,,,13.7792642140468,1.5557792623776,77,,,,13.7792642140468,,,,,,,,1.5557792623776,,,,
bc c content,very low <20%,,,21.19,1.37244897959184,89,,,,21.19,,,,,,,,1.37244897959184,,,,
bc dose,high,,,0.832049306625577,7.19174841497648,7,,,15.4296755988318,,,,,,,,1.6787100885766,,,,,
bc dose,high,,,0.955315870570107,3.62741696369429,19,,,15.4296755988318,,,,,,,,1.6787100885766,,,,,
bc dose,high,,,6.44204851752021,1.82215743440233,32,,,,,,,,10.4081058933478,,,,,,,,1.18145612342051
bc dose,high,,,7.73464373464373,1.14325828611543,49,,,,,,8.35326753552199,,,,,,,,0.687169233024964,,
bc dose,high,,,7.91154791154791,1.26360126360124,54,,,,,,8.35326753552199,,,,,,,,0.687169233024964,,
bc dose,high,,,9.38574938574938,1.17334403048688,46,,,,,,8.35326753552199,,,,,,,,0.687169233024964,,
bc dose,high,,,10.3235747303543,12.3647604327666,4,,,15.4296755988318,,,,,,,,1.6787100885766,,,,,
bc dose,high,,,11.832884097035,1.8909180923043,42,,,,,,,,10.4081058933478,,,,,,,,1.18145612342051
bc dose,high,,,12.0975609756097,1.36884021901443,48,,,,,,,12.3202945236999,,,,,,,,1.00904623471977,
bc dose,high,,,12.5853658536585,1.49328023892482,35,,,,,,,12.3202945236999,,,,,,,,1.00904623471977,
bc dose,high,,,16.2803234501347,2.71604598712798,19,,,,,,,,10.4081058933478,,,,,,,,1.18145612342051
bc dose,high,,,17.3455759599332,1.46076794657763,59,,,,21.1199049271508,,,,,,,,0.514036445936754,,,,
bc dose,high,,,21.0152284263959,0.492302184031505,70,21.0152284263959,,,,,,,,0.492302184031505,,,,,,,
bc dose,high,,,21.025641025641,1.98818782527339,70,,,15.4296755988318,,,,,,,,1.6787100885766,,,,,
bc dose,high,,,21.1693548387096,0.591949486977117,70,,,,21.1199049271508,,,,,,,,0.514036445936754,,,,
bc dose,high,,,22.3706176961602,2.29549248747913,32,,,,21.1199049271508,,,,,,,,0.514036445936754,,,,
bc dose,high,,,25.2921535893155,1.93775339852135,44,,,,21.1199049271508,,,,,,,,0.514036445936754,,,,
