moderator 1,group 1,moderator 2,group 2,ES,SE,n,mean_N pool,mean_SOC,mean_WHC,mean_Y,mean_bulk density,mean_porosity,mean_soil ph,mean_soil water content,sd_N pool,sd_SOC,sd_WHC,sd_Y,sd_bulk density,sd_porosity,sd_soil ph,sd_soil water content
soil texture,fine,,,-8.8,0.779478458049877,23,,,,,-8.8,,,,,,,,0.779478458049877,,,
soil texture,fine,,,5.5,0.89843835079389,6,,,,,,5.5,,,,,,,,0.89843835079389,,
soil texture,fine,,,19.5940959409594,0.392857142857143,126,,,,19.5940959409594,,,,,,,,0.392857142857143,,,,
soil texture,fine,,,20.3690036900369,1.74710082544186,126,,,20.3690036900369,,,,,,,,1.74710082544186,,,,,
soil texture,fine,,,21.2195121951219,0.439110070257602,126,21.2195121951219,,,,,,,,0.439110070257602,,,,,,,
soil texture,fine,crop type,grain,16.91,3.86989795918367,11,16.91,,,,,,,,3.86989795918367,,,,,,,
soil texture,fine,crop type,grain,18.15,3.56887755102041,13,,,,18.15,,,,,,,,3.56887755102041,,,,
soil texture,fine (clay),,,10.6430155210643,0.576949183220954,205,,,,,,,10.6430155210643,,,,,,,,0.576949183220954,
soil texture,fine (clay),,,28.1596452328159,1.24440019910403,210,,,,28.1596452328159,,,,,,,,1.24440019910403,,,,
soil texture,medium,,,-7.3,0.577795220652365,18,,,,,-7.3,,,,,,,,0.577795220652365,,,
soil texture,medium,,,7.2,1.11624158734999,6,,,,,,7.2,,,,,,,,1.11624158734999,,
soil texture,medium,,,14.47,0.683673469387755,56,,,,14.47,,,,,,,,0.683673469387755,,,,
soil texture,medium,,,14.7560975609756,0.731850117096021,56,14.7560975609756,,,,,,,,0.731850117096021,,,,,,,
soil texture,medium,crop type,grain,12.6568265682656,1.39146567717994,74,,,,12.6568265682656,,,,,,,,1.39146567717994,,,,
soil texture,medium,crop type,grain,14.8523985239852,1.65843875347117,44,14.8523985239852,,,,,,,,1.65843875347117,,,,,,,
soil texture,medium (loam),,,12.0399113082039,0.475134621476071,176,,,,,,,12.0399113082039,,,,,,,,0.475134621476071,
soil texture,medium (loam),,,48.3370288248337,3.11100049776008,105,,,,48.3370288248337,,,,,,,,3.11100049776008,,,,
time frame,long term,,,8.11387900355871,0.491105533122339,340,,,,,,,10.2487354699231,,,,,,,,0.381283807564245,
time frame,long term,,,11.8505338078291,1.3096147549929,86,,,,,,,10.2487354699231,,,,,,,,0.381283807564245,
time frame,long term,,,13.932384341637,0.682091018225485,178,,,,,,,10.2487354699231,,,,,,,,0.381283807564245,
time frame,long term,,,23.4875444839857,2.72108843537413,265,,,,29.1356695274145,,,,,,,,2.1242860772645,,,,
time frame,long term,,,34.1637010676156,6.30385487528347,58,,,,29.1356695274145,,,,,,,,2.1242860772645,,,,
time frame,long term,,,39.5017793594306,4.03628117913832,167,,,,29.1356695274145,,,,,,,,2.1242860772645,,,,
time frame,long term,crop type,grain,3.41836734693877,1.51202865252061,39,,,,3.41836734693877,,,,,,,,1.51202865252061,,,,
time frame,long term,crop type,grain,5.7741116751269,2.07323028221189,27,5.7741116751269,,,,,,,,2.07323028221189,,,,,,,
time frame,long term,soil texture,coarse,-3.63636363636363,1.10314396028682,5,,,,,-3.63636363636363,,,,,,,,1.10314396028682,,,
time frame,long term,soil texture,fine,-5.99326599326599,0.948014340871482,5,,,,,-5.99326599326599,,,,,,,,0.948014340871482,,,
time frame,long term,soil texture,medium,-6.46464646464646,1.87879205736348,3,,,,,-6.46464646464646,,,,,,,,1.87879205736348,,,
time frame,med term,crop type,grain,9.96192893401015,1.24183336701015,58,9.96192893401015,,,,,,,,1.24183336701015,,,,,,,
time frame,med term,crop type,grain,11.1224489795918,1.07278010541964,73,,,,11.1224489795918,,,,,,,,1.07278010541964,,,,
time frame,medium term,soil texture,coarse,-7.47474747474747,1.18932708218423,9,,,,,-7.47474747474747,,,,,,,,1.18932708218423,,,
time frame,medium term,soil texture,fine,-8.28282828282828,1.43063982349696,7,,,,,-8.28282828282828,,,,,,,,1.43063982349696,,,
time frame,medium term,soil texture,medium,-6.53198653198653,0.999724214009929,7,,,,,-6.53198653198653,,,,,,,,0.999724214009929,,,
time frame,short term,crop type,grain,11.2244897959183,0.549060683876199,266,,,,11.2244897959183,,,,,,,,0.549060683876199,,,,
time frame,short term,crop type,grain,15.1649746192893,0.663012729844413,181,15.1649746192893,,,,,,,,0.663012729844413,,,,,,,
time frame,short term,soil texture,coarse,-11.6498316498316,0.568808604522883,51,,,,,-11.6498316498316,,,,,,,,0.568808604522883,,,
time frame,short term,soil texture,fine,-10.8417508417508,1.17209045780474,13,,,,,-10.8417508417508,,,,,,,,1.17209045780474,,,
time frame,short term,soil texture,medium,-7.87878787878787,0.723938223938224,11,,,,,-7.87878787878787,,,,,,,,0.723938223938224,,,
water management,irrigation,,,0.913705583756345,0.738453276047261,46,10.8147405150265,,,,,,,,0.268857794150697,,,,,,,
water management,irrigation,,,8.68020304568528,0.492302184031508,107,10.8147405150265,,,,,,,,0.268857794150697,,,,,,,
water management,irrigation,,,12.6395939086294,0.514679556032916,64,10.8147405150265,,,,,,,,0.268857794150697,,,,,,,
water management,irrigation,,,14.7715736040609,0.559434300035816,70,10.8147405150265,,,,,,,,0.268857794150697,,,,,,,
water management,irrigation,,,19.0355329949238,1.0517364840673,151,10.8147405150265,,,,,,,,0.268857794150697,,,,,,,
water management,irrigation,crop type,grain,8.23,1.61479591836735,237,,,,8.23,,,,,,,,1.61479591836735,,,,
water management,irrigation,crop type,grain,10.28,2.06887755102041,186,10.28,,,,,,,,2.06887755102041,,,,,,,
water management,irrigation+rain,,,12.1827411167512,1.18600071607589,118,12.1827411167512,,,,,,,,1.18600071607589,,,,,,,
water management,rain-fed,,,6.24365482233502,1.27551020408163,112,6.24365482233502,,,,,,,,1.27551020408163,,,,,,,
