ind_code,mod1,pmin,pmax,pmean,psd,mod1n
bulk density,soil texture,7.3,10.4,9.01689754313599,0.340648385818257,16
N pool,soil texture,6.21951219512195,21.2195121951219,13.505539921807,0.272106921817742,16
porosity,soil texture,5.5,12.3,11.1426592225334,0.304070176443072,16
soil pH,soil texture,10.6430155210643,14.5011086474501,11.8932007397732,0.340507569241524,16
WHC,soil texture,20.1653136531365,20.5726937269373,20.3690036900369,1.74710082544186,16
yield,soil texture,8.47,56.3192904656319,17.1599677901196,0.283499156516203,16
bulk density,SSA,1.05769230769231,26.4423076923076,6.66539026090611,0.205844281154426,14
porosity,SSA,1.02222222222222,12.9333333333333,10.8030834197479,0.111085888805344,14
bulk density,time frame,3.63636363636363,11.6498316498316,8.50909288474437,0.314028034759888,22
N pool,time frame,5.7741116751269,15.1649746192893,13.4036481193867,0.562903482953046,22
soil pH,time frame,8.11387900355871,13.932384341637,10.2487354699231,0.381283807564245,22
yield,time frame,3.41836734693877,39.5017793594306,11.3206882105591,0.454309603835212,22
N pool,water management,0.913705583756345,19.0355329949238,10.6872825394901,0.25487785227004,21
yield,water management,8.1477,8.3123,8.23,1.61479591836735,21
