meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,70,35.75,106.15,field,cabbage,vegetable,irrigation,146.8,225,300,75,300,clay,1.07,7.83,33.43,0.95,9.5,695.7,3.98,20,1.18,0.04,3,1.18,0.07,3,27.6,21.5,27.6,21.5,-0.0234561298058929,-0.116191829706852,1.35441161355416,-1.62081310143332,6.02582147904584,-0.859906932541443,1.18301919989966,9.56502392003746,-0.0570983200422862,-3.29901132289108,3.75160566554799,-8.74178495009696,0.0371211544254073,0.16929611596136,-0.49590968497343
Wu22,1944,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.46,0.093010928008763,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1945,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.41,0.0898256222550382,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1946,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.39,0.0885514999535483,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
Wu22,1947,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.45,0.092373866858018,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1948,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.42,0.0904626834057832,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1949,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.39,0.0885514999535483,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
Wu22,1950,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.45,0.092373866858018,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1951,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.41,0.0898256222550382,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1952,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.38,0.0879144388028034,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
