meta_analytical_study,studyid,sources,country,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,scn_scaled,bph_scaled,btc_scaled,btn_scaled,bcn_scaled,brate_scaled
Han22,24,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,15197.8,629.499999999998,3,19514.4,269.8,3,-0.257663963630073,-1.66105032311345,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,2.17011503251577
Han22,25,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,78.1,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,12410.1,989.2,3,15107.9,449.7,3,-0.257663963630073,-2.07439046609399,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,0.469919142321307
Han22,26,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,78.1,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,12410.1,989.2,3,16906.5,1169,3,-0.257663963630073,-2.07439046609399,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,2.17011503251577
Han22,27,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,123.6,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,13974.9,1087.9,3,17154.8,502.099999999999,3,-0.257663963630073,-1.44957397089085,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,0.469919142321307
Han22,28,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,123.6,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,13974.9,1087.9,3,18075.3,669.500000000003,3,-0.257663963630073,-1.44957397089085,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,2.17011503251577
Han22,29,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,133.4,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,10543.9,1171.6,3,13054.4,585.800000000001,3,-0.257663963630073,-1.31499811038556,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,0.469919142321307
Han22,30,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,133.4,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,10543.9,1171.6,3,13891.2,753.2,3,-0.257663963630073,-1.31499811038556,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,2.17011503251577
Han22,31,Agegnehu et al. (2015）,Australia,-17.0167,145.4,field,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.9,0.6,14.8,9.8,585,8.45,60.5527123848516,10,5617,1171.6,3,6910,753.2,3,0.107740902572475,-0.0571257815809997,-1.68939046016978,-2.21155163279475,-0.505787319598337,-10.7881081277623,-0.260944709105035,-0.212288597062068,-0.847368734006959,1.16820017300182,0.308933895588106,-0.215692948539179,0.0525641651425646,-0.0538254866784276,-0.550198391795371
Han22,32,Agegnehu et al. (2015）,Australia,-17.0167,145.4,field,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.1,0.7,14.9,9.8,585,8.45,60.5527123848516,2.5,6552,1171.6,3,6786,753.2,3,0.107740902572475,-0.0571257815809997,-1.68939046016978,-2.21155163279475,-0.505787319598337,-10.7881081277623,-0.260944709105035,-0.402224083925832,-0.615667233139174,1.19828404346732,0.308933895588106,-0.215692948539179,0.0525641651425646,-0.0538254866784276,-1.06025715885371
Han22,38,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,field,maize,grain,irrigation,304.3,225,45,100,45,sandy clay loam,1.35,5.12,9.4,4.6,0.204347826086957,9.42,690,10.09,6.73,20,21621.6,1014.8,3,23783.8,1579.8,3,-0.61302019601205,-0.0571257815809997,-1.50232933619288,-0.0941725064368832,-1.06637332071542,-1.03182282104165,-1.11241595184824,-0.0935789177722162,8.42069130070444,-3.22273692059314,-0.170133029516714,-0.0842639472745446,0.705787730675768,-2.52912062610095,0.129879964282414
