studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yield_unit,yi,vi
991,26.75,111.87,field,maize,grain,unknown,1408,200,195,100,80,clay loam,1.44,4.93,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,45,4010,2078.46096908265,3,5400,1835.97385602301,3,kg/ha/yr,1390,2563600
992,21.2,110.28,field,zizyphus,others,unknown,1610,200,195,100,80,clay loam,1.44,4.5199999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,6.25,4030,1732.05080756888,3,5250.107,1853.2943640987,3,kg/ha/yr,1220.107,2144900
993,21.2,110.28,field,zizyphus,others,unknown,1610,200,195,100,80,clay loam,1.44,4.5199999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,3.75,4030,1732.05080756888,3,6800,1229.7560733739,3,kg/ha/yr,2770,1504100
994,28.62,112.13,field,rice,grain,unknown,1385,200,195,100,80,clay loam,1.44,6.06,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.7355,6275,543.430940874735,3,6425,556.421321931502,3,kg/ha/yr,150,201640.625
995,28.62,112.13,field,rice,grain,unknown,1385,200,195,100,80,clay loam,1.44,6.06,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.7355,8450,731.791466197851,3,8400,727.461339178928,3,kg/ha/yr,-50,354906.25
996,27.54,113.18,field,rice,grain,unknown,1026,200,195,100,80,clay loam,1.44,4.74,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.6675,6603,571.836574118865,3,6890,596.691503207478,3,kg/ha/yr,287,227679.2725
997,27.54,113.18,field,rice,grain,unknown,1026,200,195,100,80,clay loam,1.44,4.74,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.335,6603,571.836574118865,3,6927,599.895797201481,3,kg/ha/yr,324,228957.345
998,27.54,113.18,field,rice,grain,unknown,1026,200,195,100,80,clay loam,1.44,4.74,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.00428,6603,571.836574118865,3,6903,597.817336232398,3,kg/ha/yr,300,228127.545
999,27.54,113.18,field,rice,grain,unknown,1026,200,195,100,80,clay loam,1.44,4.74,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.67,6603,571.836574118865,3,6970,603.619706437754,3,kg/ha/yr,367,230451.2725
1020,unknown,unknown,field,barley,grain,unknown,520,200,195,100,80,unknown,1.44,5.3150000000000004,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.33333333333333,3835,649.519052838329,3,4243,1134.49327895761,3,kg/ha/yr,408,569650
1021,30.33,104.58,field,rice,grain,unknown,900,200,195,100,80,Silty Clay Loam,1.44,5.52,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.6,8576,658.179306876173,3,8678,554.256258422041,3,kg/ha/yr,102,246800
1022,30.33,104.58,field,rice,grain,unknown,900,200,195,100,80,Silty Clay Loam,1.44,5.52,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.2,8576,658.179306876173,3,8718,594.093426996125,3,kg/ha/yr,142,262049
1023,30.33,104.58,field,rice,grain,unknown,900,200,195,100,80,Silty Clay Loam,1.44,5.52,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.8,8576,658.179306876173,3,8813,749.977999677324,3,kg/ha/yr,237,331889
1024,30.33,104.58,field,rice,grain,unknown,900,200,195,100,80,Silty Clay Loam,1.44,5.52,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.4,8576,658.179306876173,3,8720,235.558909829367,3,kg/ha/yr,144,162896
1025,30.33,104.58,field,rice,grain,unknown,900,200,195,100,80,Silty Clay Loam,1.44,5.52,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,7.11808,8299,478.04602288901,3,8576,658.179306876173,3,kg/ha/yr,277,220576
1026,26.75,111.88,field,wheat,grain,unknown,1026,200,195,100,80,clay loam,1.44,4.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,3.026,440,114,4,1177,176,4,kg/ha/yr,737,10993
1055,30.27,117.07,pot,unknown,unknown,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,5.6,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.67,117.4,10.1671382404293,3,132.9,11.5094776162952,3,unknown,15.5,78.612925
1056,30.27,117.07,pot,unknown,unknown,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,5.6,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.635,117.4,10.1671382404293,3,128.1,11.0937854224787,3,unknown,10.7,75.480925
1057,30.27,117.07,pot,unknown,unknown,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,5.6,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.025,117.4,10.1671382404293,3,136.9,11.855887777809,3,unknown,19.5,81.310925
1058,30.89,119.42,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.654,2168,187.754307540466,4,2370,237,4,kg/ha/yr,202,22855.17
1059,30.89,119.42,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.199,2168,187.754307540466,4,2481,248.1,4,kg/ha/yr,313,24201.3225
1060,30.89,119.42,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.744,2168,187.754307540466,4,2518,251.8,4,kg/ha/yr,350,24663.73
1061,30.89,119.42,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.725,2168,187.754307540466,4,2401,240.1,4,kg/ha/yr,233,23224.9225
1062,30.89,119.42,field,maize,grain,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.725,3408,295.141457609737,4,3779,377.9,4,kg/ha/yr,371,57479.2225
1063,30.89,119.42,field,maize,grain,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.725,3408,295.141457609737,4,4135,413.5,4,kg/ha/yr,727,64522.6825
1064,30.89,119.42,field,maize,grain,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.725,3408,295.141457609737,4,4928,492.8,4,kg/ha/yr,1520,82490.08
1065,30.89,119.42,field,maize,grain,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.0999999999999996,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.725,3408,295.141457609737,4,4001,400.1,4,kg/ha/yr,593,61797.1225
1072,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,3.7,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,3.375,0.93,0.0161080725103906,4,2.7,0.0467653718043597,4,g/plant,1.77,0.0006116175
1073,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,3.7,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,6.75,0.93,0.0161080725103906,4,3.84,0.0665107510106449,4,g/plant,2.91,0.0011707875
1074,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,3.7,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,13.725,0.93,0.0161080725103906,4,3.83,0.066337545929888,4,g/plant,2.9,0.001165035
1075,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,3.7,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,4.66666666666667,0.93,0.0161080725103906,4,0.91,0.0157616623488768,4,g/plant,-0.02,0.000126975
1076,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,3.7,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,9.11111111111111,0.93,0.0161080725103906,4,0.67,0.0116047404107115,4,g/plant,-0.26,9.8535e-05
1077,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,4.4000000000000004,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.575,3.2,0.0554256258422041,4,3.21,0.055598830922961,4,g/plant,0.00999999999999979,0.0015408075
1078,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,4.4000000000000004,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,3.375,3.2,0.0554256258422041,4,3.93,0.0680695967374569,4,g/plant,0.73,0.0019263675
1079,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,4.4000000000000004,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,4.95,3.2,0.0554256258422041,4,3.68,0.0637394697185347,4,g/plant,0.48,0.00178368
